/home/jessica/GitHub/data_templates/01082020/20200108_2123.json
Profile from  2020-01-08 21:24:20.381116 to 2020-01-08 21:32:06.650325 added
1 profile(s) including those added from file /home/jessica/GitHub/data_templates/01082020/00000108.BIN
Temperature sensor 1 removed
/home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/metpy/xarray.py:655: MetpyDeprecationWarning: The dewpoint_rh function was deprecated in version 0.12. This function has been renamed dewpoint_from_relative_humidity.
  return func(*args, **kwargs)
         37220892 function calls (37138684 primitive calls) in 678.433 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/2    0.018    0.006    0.415    0.208 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1154    0.018    0.000    0.019    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:435(set_message_timestamp)
        4    0.017    0.004    0.064    0.016 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
     1569    0.016    0.000    0.017    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:126(to_string)
    38/34    0.016    0.000    0.055    0.002 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/indexes/base.py:277(__new__)
        3    0.016    0.005    0.042    0.014 <frozen importlib._bootstrap>:576(module_from_spec)
      792    0.015    0.000    0.016    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/arrayprint.py:703(_extendLine)
      847    0.015    0.000    0.036    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1743(is_extension_array_dtype)
     1216    0.014    0.000    0.014    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/dialects/v20/ardupilotmega.py:222(__init__)
        3    0.013    0.004    0.098    0.033 {built-in method builtins.exec}
     1211    0.012    0.000    0.071    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/dtypes/base.py:231(is_dtype)
        3    0.012    0.004    0.027    0.009 <frozen importlib._bootstrap>:504(_init_module_attrs)
        3    0.012    0.004    0.019    0.006 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.011    0.011    0.018    0.018 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        9    0.011    0.001    0.011    0.001 {built-in method io.open}
        1    0.011    0.011    0.469    0.469 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/mavutil.py:80(set_dialect)
       52    0.010    0.000    0.012    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/compat/tokenize.py:491(_tokenize)
    97/93    0.010    0.000    0.130    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/series.py:197(__init__)
